line_id,character_id,movie_id,character_name,text,movie_title,persona_tag
L43466,u3681,m243,ALVY,"I'm nauseous.  Oh, jesus, now I don't get to do the TV show?",annie hall,alvy
L43462,u3681,m243,ALVY,"Oh, oh, no, I can't-I can't eat this. I'm nauseous.  If you could-if you could just give me something to get me through the next two hours, you know I-I have to go out to Burbank... and give out an award on a TV show.",annie hall,alvy
L43419,u3681,m243,ALVY,It's that they don't throw their garbage away. They make it into television shows.,annie hall,alvy
L43410,u3681,m243,ALVY,Really? And what is the kick of it? Because I never...,annie hall,alvy
L43402,u3681,m243,ALVY,"...I'm thrilled. As you know, uh... uh, on my agent's advice I sold out, and I'm gonna do an appearance on TV.",annie hall,alvy
L43396,u3681,m243,ALVY,"Oh, I'm sure it's a lot of fun, 'cause the Incas did it, you know, and-and they-they-they were a million laughs.",annie hall,alvy
L43392,u3681,m243,ALVY,"Yeah, I know it's sick, but it's new. You know, you didn't say it couldn't be sick.",annie hall,alvy
L43390,u3681,m243,ALVY,"How can you say that? I mean,  who said I-I-I-I said that you, I and that girl from your acting class should sleep together in a threesome.",annie hall,alvy
L43384,u3681,m243,ALVY,You know... it's getting expensive my analyst... for her analyst. She- she's making progress and I'm not making any progress. Her progress is defeating my progress.,annie hall,alvy
L43382,u3681,m243,ALVY,"The incredible thing about it is, I'm paying for her analysis and she's making progress and I'm getting screwed.",annie hall,alvy
L43380,u3681,m243,ALVY,"I mean... I tried everything, you know, I-I-I put on soft music and my- my red light bulb, and...",annie hall,alvy
L43378,u3681,m243,ALVY,"She would not sleep with me the other night, you know, it's-",annie hall,alvy
L43376,u3681,m243,ALVY,Hardly ever. Maybe three times a week.,annie hall,alvy
L43372,u3681,m243,ALVY,"Well, we never have any laughs anymore, is the problem.",annie hall,alvy
L43369,u3681,m243,ALVY,"I'm just not... you know, I don't think I could take a mellow eve- 'cause I-I don't respond well to mellow, you know what I mean, I-I have a tendency to... if I get too mellow, I-I ripen and then rot. You know, and it's-it's not good for my...",annie hall,alvy
L43367,u3681,m243,ALVY,"What's... you... well, what's the matter, You w-wanna go to that party?",annie hall,alvy
L43356,u3681,m243,ALVY,"yes, we had, uh...",annie hall,alvy
L43354,u3681,m243,ALVY,Don't you remember we-we-we discussed that thing that we were-,annie hall,alvy
L43352,u3681,m243,ALVY,"Remember, we had that thing.",annie hall,alvy
L43327,u3681,m243,ALVY,"You were-you were sensational. I mean, I-you know, I-I told yuh that if yuh stuck to it, you would be great, and-and, you know, I-I-you- you were sensational.",annie hall,alvy
L43324,u3681,m243,ALVY,"Yeah, I know. Just-just put on the watch, and-and... that thing, and we'll just...",annie hall,alvy
L43322,u3681,m243,ALVY,Check it out.,annie hall,alvy
L43320,u3681,m243,ALVY,Here's a real present.,annie hall,alvy
L43318,u3681,m243,ALVY,Try it... it'll add years to our sex life.,annie hall,alvy
L43316,u3681,m243,ALVY,"Yeah, hey, why don't yuh try it on?",annie hall,alvy
L43314,u3681,m243,ALVY,Happy birthday.,annie hall,alvy
L43311,u3681,m243,ALVY,"Yeah, but no presents till midnight.",annie hall,alvy
L43309,u3681,m243,ALVY,"Ah? Oh, well, your birthday's not till tomorrow, honey, I hate to tell yuh.",annie hall,alvy
L43273,u3681,m243,ALVY,"Oh, look, look, there's that... that's that's my old house. That's where we used to live.",annie hall,alvy
L43263,u3681,m243,ALVY,"Hey, can yuh watch the road? Watch the --",annie hall,alvy
L43260,u3681,m243,ALVY,That'd be fun for yuh. Don't you think-,annie hall,alvy
L43258,u3681,m243,ALVY,"Tsch, why don't we get... why don't we get Rob, and the three of us'll drive into Brooklyn, you know, and we show you the old neighborhood.",annie hall,alvy
L43256,u3681,m243,ALVY,I don't know.,annie hall,alvy
L43254,u3681,m243,ALVY,"It's all right for me, it's been terrific, you know?  Better than either one of my marriages. See, 'cause... 'cause there's just something different about you. I don't know what it is, but it's great.",annie hall,alvy
L43252,u3681,m243,ALVY,"Oh, no, no, I think we're both much too mature for something like that.",annie hall,alvy
L43249,u3681,m243,ALVY,I'm sorry. I had the television set had the television-,annie hall,alvy
L43247,u3681,m243,ALVY,"Oh, I had the radio on.",annie hall,alvy
L43245,u3681,m243,ALVY,W-w-whatta you mean?,annie hall,alvy
L43243,u3681,m243,ALVY,What?,annie hall,alvy
L43241,u3681,m243,ALVY,"Oh, Jesus, really?",annie hall,alvy
L43239,u3681,m243,ALVY,"Whatta you mean, don't go? Whatta- whatta what's the matter? Whatta you expecting termites? What's the matter?",annie hall,alvy
L43237,u3681,m243,ALVY,Whatta-whatta yuh joining a minstrel show? Geez.  Don't worry!  I did it! I killed them both. What- what's the matter? Whatta you-  whatta you sad about? You- What'd you want me to do? Capture 'em and rehabilitate 'em?,annie hall,alvy
L43235,u3681,m243,ALVY,"Hey, what is this? You got black soap?",annie hall,alvy
L43233,u3681,m243,ALVY,"Honey, there's a spider in your bathroom the size of a Buick.",annie hall,alvy
L43231,u3681,m243,ALVY,"Okay, let me have this.",annie hall,alvy
L43229,u3681,m243,ALVY,snow shovel or anything or something.,annie hall,alvy
L43227,u3681,m243,ALVY,"Yep. I didn't think it was that big, but it's a major spider. You got a broom or something with a-",annie hall,alvy
L43225,u3681,m243,ALVY,"Two... Yeah. Lotta, lotta trouble. There's two of 'em.",annie hall,alvy
L43223,u3681,m243,ALVY,Very big spider.,annie hall,alvy
L43221,u3681,m243,ALVY,"Darling, darling, I've been killing spiders since I was thirty, okay?",annie hall,alvy
L43219,u3681,m243,ALVY,Is he in the bathroom?,annie hall,alvy
L43217,u3681,m243,ALVY,"Yeah, where is the spider?",annie hall,alvy
L43215,u3681,m243,ALVY,"Hey, what am I-your son? Whatta you mean? I-I came over to --",annie hall,alvy
L43213,u3681,m243,ALVY,"Well, I was in be- It's three o'clock in the morning. You, uh, you got me outta bed, I ran over here, I couldn't get a taxi cab. You said it was an emergency, and I didn't ge- I ran up the stairs. Hell - I was a lot more attractive when the evening began. Look, uh, tell- Whatta you- Are you going with a right-wing rock-and- roll star? Is that possible?",annie hall,alvy
L43211,u3681,m243,ALVY,It's wonderful. Then why don'tcha get William F. Buckley to kill the spider?,annie hall,alvy
L43209,u3681,m243,ALVY,"What is this? What are you, since when do you read the ""National Review""? What are you turning in to?",annie hall,alvy
L43207,u3681,m243,ALVY,"Oh, humdinger. When- Well, I got a wonderful idea. Why don'tcha get the guy who took you to the rock concert, we'll call him and he can come over and kill the spider. You know, it's a-",annie hall,alvy
L43205,u3681,m243,ALVY,"Oh, yeah, really?  Really?  How-how'd you like it? Was it-was it, I mean, did it... was it heavy? Did it achieve total heavy-ocity? Or was it, uh...",annie hall,alvy
L43203,u3681,m243,ALVY,"Jesus. All right, gimme a magazine. I- 'cause I'm a little tired.  You know, you, you joke with-about me, you make fun of me, but I'm prepared for anything. An emergency, a tidal wave, an earthquake. Hey, what is this? What? Did you go to a rock concert?",annie hall,alvy
L43201,u3681,m243,ALVY,"I told you a thousand times you should always keep, uh, a lotta insect spray. You never know who's gonna crawl over.",annie hall,alvy
L43199,u3681,m243,ALVY,Kill it! For Go- What's wrong with you? Don't you have a can of Raid in the house?,annie hall,alvy
L43197,u3681,m243,ALVY,Oooh.,annie hall,alvy
L43195,u3681,m243,ALVY,"That's what you got me here for at three o'clock in the morning, 'cause there's a spider in the bathroom?",annie hall,alvy
L43191,u3681,m243,ALVY,Are you okay?  What's the matter?  Are you all right? What-,annie hall,alvy
L43189,u3681,m243,ALVY,"What's- It's me, open up.",annie hall,alvy
L43140,u3681,m243,ALVY,"I'm following you and David, if you-",annie hall,alvy
L43138,u3681,m243,ALVY,David! David! I can't believe this!,annie hall,alvy
L43136,u3681,m243,ALVY,Adult education is such junk! The professors are so phony. How can you do it?,annie hall,alvy
L43133,u3681,m243,ALVY,"She said, ""Will it change my wife."" You heard that because you were there so I'm not crazy.",annie hall,alvy
L43131,u3681,m243,ALVY,"You said, ""Will it change..."" Wife. Will it change...",annie hall,alvy
L43129,u3681,m243,ALVY,"Yeah, but you said, ""Will it change my wife""!",annie hall,alvy
L43127,u3681,m243,ALVY,Will it change your wife?,annie hall,alvy
L43125,u3681,m243,ALVY,"Tsch, what'd the doctor say?",annie hall,alvy
L43123,u3681,m243,ALVY,Sinatra had gl- You never said Sinatra had glasses. So whatta you saying that I-I'm suffocating you?,annie hall,alvy
L43121,u3681,m243,ALVY,Whatta you mean? Me?,annie hall,alvy
L43119,u3681,m243,ALVY,"Well, well, sure... because he's a singer and you're a singer, you know, so it's perfect. So you're trying to suffocate yourself. It-it makes perfect sense. Uh, uh, that's a perfect analytic... kind of insight.",annie hall,alvy
L43117,u3681,m243,ALVY,Yeah?,annie hall,alvy
L43115,u3681,m243,ALVY,Sinatra?,annie hall,alvy
L43113,u3681,m243,ALVY,I whine. I-I-I sit and I whine.,annie hall,alvy
L43111,u3681,m243,ALVY,You cried? I've never once cried. Fantastic...,annie hall,alvy
L43109,u3681,m243,ALVY,"That's amazing. I-I-I... I've been goin' for fifteen years, I-you know, I don't got... nothing like that in-",annie hall,alvy
L43107,u3681,m243,ALVY,Tsch. Rea- All this happened in the first hour?,annie hall,alvy
L43105,u3681,m243,ALVY,M'hm.,annie hall,alvy
L43103,u3681,m243,ALVY,"G-go on, I'm interested.",annie hall,alvy
L43101,u3681,m243,ALVY,"Me? I'm-I'm one of the few males who suffers from that, so, so... you know.",annie hall,alvy
L43099,u3681,m243,ALVY,M'm.,annie hall,alvy
L43095,u3681,m243,ALVY,"Oh, yeah? How'd it go?",annie hall,alvy
L43092,u3681,m243,ALVY,"Well, listen, that's, a nice bi-it's a biblical name. Right? W-What does he call you? Bathsheba?",annie hall,alvy
L43090,u3681,m243,ALVY,David? You call your teacher David?,annie hall,alvy
L43088,u3681,m243,ALVY,"Next thing you know he'll find you keen and peachy, you know? Next thing you know he's got his hand on your ass!",annie hall,alvy
L43086,u3681,m243,ALVY,"""Neat""! There's that- What are you- twelve years old? That's one o' your Chippewa Falls expressions! ""He thinks I'm neat.""",annie hall,alvy
L43084,u3681,m243,ALVY,"Hey, don't knock masturbation! It's sex with someone I love.",annie hall,alvy
L43082,u3681,m243,ALVY,What's the difference? It's all mental masturbation.,annie hall,alvy
L43080,u3681,m243,ALVY,"Oh, stop it. But you were having an affair with your college professor. That jerk that teaches that incredible crap course ""Contemporary Crisis in Western Man""!",annie hall,alvy
L43078,u3681,m243,ALVY,"Yeah-well, I didn't start out spying. I-I thought I'd surprise yuh. Pick you up after school.",annie hall,alvy
L43076,u3681,m243,ALVY,Paranoid? I'm looking at you. You got your arms around another guy.,annie hall,alvy
L43074,u3681,m243,ALVY,Following is different. I was spying.,annie hall,alvy
L43072,u3681,m243,ALVY,Why? 'Cause I... was walkin' along a block behind you staring at you? That's not following!,annie hall,alvy
L43070,u3681,m243,ALVY,I didn't follow you!,annie hall,alvy
L43011,u3681,m243,ALVY,"Yeah, I know, they'll hate me immediately.  Thank you.",annie hall,alvy
L43009,u3681,m243,ALVY,You're so sure about it.,annie hall,alvy
L43006,u3681,m243,ALVY,"Well, the twelve o'clock show is completely different than the nine.",annie hall,alvy
L43004,u3681,m243,ALVY,Are yuh?,annie hall,alvy
L43002,u3681,m243,ALVY,C-c-coll- College audiences are so wonderful.,annie hall,alvy
L42993,u3681,m243,ALVY,"Hey, what is this-an interview? We're supposed to be making love.",annie hall,alvy
L42991,u3681,m243,ALVY,"so if I get a laugh from a person who's high, it doesn't count. You know-'cause they're always laughin'.",annie hall,alvy
L42989,u3681,m243,ALVY,"Well, it ruins it for me if you have grass  because, you know, I'm, like, a comedian-",annie hall,alvy
L42987,u3681,m243,ALVY,"Yeah, but that's not-that's no good. I want the whole thing.",annie hall,alvy
L42983,u3681,m243,ALVY,Is it my imagination or are you just going through the motions?,annie hall,alvy
L42981,u3681,m243,ALVY,"I don't know, but you seem sort of distant.",annie hall,alvy
L42979,u3681,m243,ALVY,Really?,annie hall,alvy
L42977,u3681,m243,ALVY,I don't know. You- It's like you're- you're removed.,annie hall,alvy
L42975,u3681,m243,ALVY,"M'm, wait, I got a great idea.  Hang in there for a second. I got a little-little artifact. A little erotic artifact, that-that I brought up from the city, which I think, uh, is gonna be perfect.  I just... there... There's a little Old New Orleans... essence. Now-now we can go about our business here and we can even develop photographs if we want to. There, now there.  M'mmm. M'mmm. Hey, is something wrong?",annie hall,alvy
L42973,u3681,m243,ALVY,"No, no, no, what... You can once, you can live without it once. Come on.",annie hall,alvy
L42971,u3681,m243,ALVY,"Oh, come, you don't need that.",annie hall,alvy
L42969,u3681,m243,ALVY,"Well, I'll give you a shot of sodium pentothal. You can sleep through it.",annie hall,alvy
L42967,u3681,m243,ALVY,"Oh, you-you have to be artificially relaxed before we can go to bed?",annie hall,alvy
L42965,u3681,m243,ALVY,"Me, no. You... I-I-you know, if I have grass or alcohol or anything I get unbearably wonderful. I get too, too wonderful for words. You know, I don't-I don't know why you have to, uh, get high every time we make love.",annie hall,alvy
L42963,u3681,m243,ALVY,"Yeah, grass, right? The illusion that it will make a white woman more like Billie Holiday.",annie hall,alvy
L42961,u3681,m243,ALVY,"No, don't be silly. What-what do we need other people for?  You know, we should-we should just turn out the lights, you know, and play hide and seek or something.",annie hall,alvy
L42959,u3681,m243,ALVY,Just don't take any course where they make you read Beowulf.,annie hall,alvy
L42957,u3681,m243,ALVY,"'Cause adult education's a wonderful thing. You meet a lotta interesting professors. You know, it's stimulating.",annie hall,alvy
L42955,u3681,m243,ALVY,"Hey, don't be ridiculous.",annie hall,alvy
L42953,u3681,m243,ALVY,"It's-it's got bad plumbing and bugs. Jesus, I'll-My accountant will write it off as a tax deduction, I'll pay for it.",annie hall,alvy
L42951,u3681,m243,ALVY,That place is four hundred dollars a month?,annie hall,alvy
L42949,u3681,m243,ALVY,"It's different 'cause you keep your own apartment.  Because you know it's there, we don't have to go to it, we don't have to deal with it, but it's like a-a-a free-floating life raft... that we know that we're not married.",annie hall,alvy
L42947,u3681,m243,ALVY,"No-what, what...? I... we live together, we sleep together, we eat together. Jesus, you don't want it to be like we're married, do yuh?",annie hall,alvy
L42945,u3681,m243,ALVY,"Ye-ah. Was it... It was yours actually, but, uh, I approved it immediately.",annie hall,alvy
L42943,u3681,m243,ALVY,How- I don't want you to live with me? How- Whose idea was it?,annie hall,alvy
L42941,u3681,m243,ALVY,"All right, granted, it has bad plumbing and bugs, but you-you say that like it's a negative thing. You know, bugs are-are-uh, entomology is a...  ...rapidly growing field.",annie hall,alvy
L42939,u3681,m243,ALVY,"Yeah, I know it's small.",annie hall,alvy
L42937,u3681,m243,ALVY,"Yeah, but you-you got a nice apartment.",annie hall,alvy
L42935,u3681,m243,ALVY,"Yeah, bu-bu-but why?",annie hall,alvy
L42933,u3681,m243,ALVY,"Whatta you mean? You're not gonna give up your own apartment, are you?",annie hall,alvy
L42931,u3681,m243,ALVY,Don't you think I do?,annie hall,alvy
L42929,u3681,m243,ALVY,"I love you.  You know I lo-ove you, I-I love you.  I-I have to invent- Of course I love you.",annie hall,alvy
L42927,u3681,m243,ALVY,"I-uh, love is, uh, is too weak a word for what...",annie hall,alvy
L42925,u3681,m243,ALVY,I know you've only known me a short while.,annie hall,alvy
L42923,u3681,m243,ALVY,That's the key question.,annie hall,alvy
L42921,u3681,m243,ALVY,You- Do you love me?,annie hall,alvy
L42919,u3681,m243,ALVY,"You know what I mean? Like the tip o'your nose, and if I stroke your teeth or your kneecaps... you get excited.",annie hall,alvy
L42917,u3681,m243,ALVY,"Uh... uh, you're-you're exceptional in bed because you got -you get pleasure in every part of your body when I touch you.",annie hall,alvy
L42915,u3681,m243,ALVY,"Unbelievably sexy. Yes, you are. Because... you know what you are? You're-you're polymorphously perverse.",annie hall,alvy
L42913,u3681,m243,ALVY,You are extremely sexy.,annie hall,alvy
L42911,u3681,m243,ALVY,And there's the winner of the Truman Capote look-alike contest.,annie hall,alvy
L42909,u3681,m243,ALVY,"No, I'm serious.  I just got my mustache wet.",annie hall,alvy
L42907,u3681,m243,ALVY,"Yeah, he's the Mafia. Linen Supply Business or Cement and Contract, you know what I mean?",annie hall,alvy
L42905,u3681,m243,ALVY,"Oh, that's hilarious. They're back from Fire Island. They're... they're sort of giving it a chance-you know what I mean?",annie hall,alvy
L42903,u3681,m243,ALVY,Look at these guys.,annie hall,alvy
L42901,u3681,m243,ALVY,"There's-there's-there's-there's Mr. When-in-the-Pink, Mr. Miami Beach, there, you know?  He's the latest! just came back from the gin-rummy farm last night. He placed third.",annie hall,alvy
L42899,u3681,m243,ALVY,"Look, look at that guy.",annie hall,alvy
L42897,u3681,m243,ALVY,"You know, and the miserable is everyone else. That's-that's all. So- so when you go through life you should be thankful that you're miserable, because that's- You're very lucky... to be...  ...to be miserable.",annie hall,alvy
L42895,u3681,m243,ALVY,I don't-don't know how they get through life. It's amazing to me.,annie hall,alvy
L42893,u3681,m243,ALVY,"And blind people, crippled...",annie hall,alvy
L42891,u3681,m243,ALVY,"...you know, they're- The-the horrible would be like, uh, I don't know, terminal cases, you know?",annie hall,alvy
L42889,u3681,m243,ALVY,Those are the two categories...,annie hall,alvy
L42887,u3681,m243,ALVY,"I've a very pessimistic view of life. You should know this about me if we're gonna go out, you know. I-I-I feel that life is-is divided up into the horrible and the miserable.",annie hall,alvy
L42885,u3681,m243,ALVY,"big subject with me, yeah.",annie hall,alvy
L42883,u3681,m243,ALVY,"Yeah, 'cause I-I'm, you know, I'm, I'm obsessed with-with, uh, with death, I think. Big-",annie hall,alvy
L42881,u3681,m243,ALVY,"I-I-I'm gonna buy you these books, I think, because I-I think you should read them. You know, instead of that cat book.",annie hall,alvy
L42879,u3681,m243,ALVY,Hey?,annie hall,alvy
L42877,u3681,m243,ALVY,"M'hm.  You're not gonna believe this, but-",annie hall,alvy
L42875,u3681,m243,ALVY,I tried to take my pants off over my head...  ...my ear.,annie hall,alvy
L42873,u3681,m243,ALVY,"No, no, I-I-i, uh, I don't use any major hallucinogenics because I took a puff like five years ago at a party and",annie hall,alvy
L42871,u3681,m243,ALVY,"No, that was the most fun I've ever had without laughing.",annie hall,alvy
L42869,u3681,m243,ALVY,Good? I was-,annie hall,alvy
L42867,u3681,m243,ALVY,Really. I mean it. I-I'll never play the piano again.,annie hall,alvy
L42865,u3681,m243,ALVY,"Yeah, I'm-I'm-I'm a wreck.",annie hall,alvy
L42861,u3681,m243,ALVY,"""There goes another novel.""  Jesus, you were great.",annie hall,alvy
L42859,u3681,m243,ALVY,As Balzac said...,annie hall,alvy
L42856,u3681,m243,ALVY,"My first... Yes, she was nice, but you know, uh, it was my fault. I was just... I was too crazy.",annie hall,alvy
L42854,u3681,m243,ALVY,Nothing that a few mega-vitamins couldn't cure.,annie hall,alvy
L42852,u3681,m243,ALVY,I'm gonna have a corned beef.,annie hall,alvy
L42851,u3681,m243,ALVY,Okay. Yeah.,annie hall,alvy
L42847,u3681,m243,ALVY,Okay?,annie hall,alvy
L42845,u3681,m243,ALVY,And we'll digest our food better.,annie hall,alvy
L42843,u3681,m243,ALVY,"And-and uh, there's gonna be all that tension. You know, we never kissed before and I'll never know when to make the right move or anything. So we'll kiss now we'll get it over with and then we'll go eat. Okay?",annie hall,alvy
L42841,u3681,m243,ALVY,"Yeah, why not, because we're just gonna go home later, right?",annie hall,alvy
L42839,u3681,m243,ALVY,Gimme a kiss.,annie hall,alvy
L42837,u3681,m243,ALVY,"Hey, listen, listen.",annie hall,alvy
L42835,u3681,m243,ALVY,It's terrific.,annie hall,alvy
L42833,u3681,m243,ALVY,Yeah!,annie hall,alvy
L42831,u3681,m243,ALVY,"No, I'm not gonna letcha. You have a great voice.",annie hall,alvy
L42829,u3681,m243,ALVY,"No, they didn't. You have a wonderful voice.",annie hall,alvy
L42827,u3681,m243,ALVY,"Oh, listen, so the audience was a tad restless.",annie hall,alvy
L42825,u3681,m243,ALVY,"you're gonna like night clubs, they're really a lotta fun.",annie hall,alvy
L42823,u3681,m243,ALVY,"That's okay, 'cause I know exactly what that's like. Listen-",annie hall,alvy
L42821,u3681,m243,ALVY,"No, so help me.",annie hall,alvy
L42819,u3681,m243,ALVY,"You're gonna sing? Do you sing? Well, no, it isn't  No kidding?  this is my first time. Oh, really? Where? I'd like to come.  Oh, no, no, no, no, no! No, I'm interested!",annie hall,alvy
L42817,u3681,m243,ALVY,"think that's, uh-",annie hall,alvy
L42815,u3681,m243,ALVY,"Yeah, I meet a lotta jerks, too.",annie hall,alvy
L42813,u3681,m243,ALVY,"Gee, boy, what do you have? You have plague?",annie hall,alvy
L42811,u3681,m243,ALVY,"Oh, you... you're very popular, I can see.",annie hall,alvy
L42809,u3681,m243,ALVY,"Oh, I'm sorry, wait a minute, I have something. Well, what about Saturday night?",annie hall,alvy
L42807,u3681,m243,ALVY,"You know, I gotta get there and begin whining soon... otherwise I- Hey... well, are you busy Friday night?",annie hall,alvy
L42797,u3681,m243,ALVY,"So, did you do shoot the photographs in there or what?",annie hall,alvy
L42795,u3681,m243,ALVY,"Oh, thank you.",annie hall,alvy
L42793,u3681,m243,ALVY,God bless.,annie hall,alvy
L42791,u3681,m243,ALVY,"Fifteen years, yeah.",annie hall,alvy
L42789,u3681,m243,ALVY,"'cause, uh, you never know what's gonna happen.",annie hall,alvy
L42787,u3681,m243,ALVY,"You know, I don't like to show my body to a man of my gender-",annie hall,alvy
