line_id,character_id,movie_id,character_name,text,movie_title
L37004,u327,m20,BATEMAN,Oh.,american psycho
L250867,u1169,m77,BEN,Very well. Thank you.,the graduate
L43207,u3681,m243,ALVY,"Oh, humdinger. When- Well, I got a wonderful idea. Why don'tcha get the guy who took you to the rock concert, we'll call him and he can come over and kill the spider. You know, it's a-",annie hall
L189494,u5076,m336,ERIN,Which one?,erin brockovich
L43322,u3681,m243,ALVY,Check it out.,annie hall
L250988,u1169,m77,BEN,Who said it was my first time?,the graduate
L212841,u5262,m348,JACK,There?,fight club
L37380,u327,m20,BATEMAN,I'm not really sure. I had a shower...and some sorbet?,american psycho
L42797,u3681,m243,ALVY,"So, did you do shoot the photographs in there or what?",annie hall
L212703,u5262,m348,JACK,"She'd invaded my support groups, now she's invading my home.",fight club
L37148,u327,m20,BATEMAN,Ask me a question.,american psycho
L250616,u1169,m77,BEN,When is he coming back?,the graduate
L42825,u3681,m243,ALVY,"you're gonna like night clubs, they're really a lotta fun.",annie hall
L213135,u5262,m348,JACK,"Right, right.",fight club
L212574,u5262,m348,JACK,"""I am Joe's Lungs."" It's written in first person. ""Without me, Joe could not take in oxygen to feed his red blood cells."" There's a whole series -- ""I am Joe's Prostate.""",fight club
L43278,u3681,m243,ALVY,"Yeah, and always over the most ridiculous things.",annie hall
L251451,u1169,m77,BEN,No -- don't cry --,the graduate
L190190,u5076,m336,ERIN,About what?,erin brockovich
L42573,u3681,m243,ALVY,"Look! Look, one crawled behind the refrigerator. It'll turn up in our bed at night. Will you get outta here with that thing? Jesus!",annie hall
L42869,u3681,m243,ALVY,Good? I was-,annie hall
L190222,u5076,m336,ERIN,"You might want to think real hard about the amount, too. My kids are sitting in the God damn parking lot right now, cause I still don't make enough to afford good child care. Makes me think about looking around for a job where I'm appreciated, for shit's sake.",erin brockovich
L42569,u3681,m243,ALVY,"If they're only babies, then you pick 'em up.",annie hall
L37462,u327,m20,BATEMAN,"No! Listen, don't you know who I am? I'm not Davis, I'm Patrick Bateman! I talk to you on the phone all the time! Don't you recognize me? You're my lawyer.",american psycho
L42395,u3681,m243,ALVY,Ah.,annie hall
L250743,u1169,m77,BEN,I drove -- I drove Mrs. Robinson home. She wanted me to drive her home so I -- I drove her home.,the graduate
L42747,u3681,m243,ALVY,Well... thank you again.,annie hall
L42921,u3681,m243,ALVY,You- Do you love me?,annie hall
L190093,u5076,m336,ERIN,"See, according to this, they were supposed to line the ponds so this shit couldn't seep into the ground. But guess what --",erin brockovich
L213317,u5262,m348,JACK,"I'm sorry, I...",fight club
L43628,u3681,m243,ALVY,"Okay. Check, please. Can I -can I... Can I... Can I...",annie hall
L36835,u327,m20,BATEMAN,"Listen, what's your name?",american psycho
L213238,u5262,m348,JACK,What did you say... ?,fight club
L37253,u327,m20,BATEMAN,Thanks. It slipped my mind completely.,american psycho
L189697,u5076,m336,ERIN,"Right, but -- I'm sorry, I don't see why you were corresponding with PG&E about it in the first place.",erin brockovich
L250634,u1169,m77,BEN,Mrs. Robinson -- if you don't mind my saying so -- this conversation is getting a little strange. Now I'm sure that Mr. Robinson will be here any minute and --,the graduate
L42935,u3681,m243,ALVY,"Yeah, bu-bu-but why?",annie hall
L212460,u5262,m348,JACK,I just called a second ago. There was no answer. I'm at a payphone.,fight club
L251476,u1169,m77,BEN,No. Actually -- she doesn't know about us getting married yet.,the graduate
L212756,u5262,m348,JACK,I'd like to thank the academy...,fight club
L251533,u1169,m77,BEN,Here? In Berkeley?,the graduate
L213358,u5262,m348,JACK,I'm begging you. Get on the bus. Get on the bus.,fight club
L190004,u5076,m336,ERIN,"We can get these people. With a little effort, I really think we can nail their asses to the wall.",erin brockovich
L251154,u1169,m77,BEN,"I can't see why you did, unless... you didn't have to marry him or anything, did you?",the graduate
L37332,u327,m20,BATEMAN,Are you telling me you've never gotten it on with a girl?,american psycho
L37347,u327,m20,BATEMAN,"It's over, Evelyn. It's all over",american psycho
L251535,u1169,m77,BEN,"Well, I have this very pleasant room on Carter Street -- and I've been getting to some classes --",the graduate
L213253,u5262,m348,JACK,"Answer me, Tyler.",fight club
L212952,u5262,m348,JACK,I thought you did.,fight club
L212686,u5262,m348,JACK,He was obviously able to handle it.,fight club
L190150,u5076,m336,ERIN,"Yeah, I heard that one before.",erin brockovich
L212614,u5262,m348,JACK,If you could fight any celebrity?,fight club
L212860,u5262,m348,JACK,Bob. I'm okay. How are you?,fight club
L43602,u3681,m243,ALVY,I'm not myself since I stopped smoking.,annie hall
L190237,u5076,m336,ERIN,So what are you thinking?,erin brockovich
L190099,u5076,m336,ERIN,No --,erin brockovich
L43099,u3681,m243,ALVY,M'm.,annie hall
L43451,u3681,m243,ALVY,"I don't know, I just got-I got very dizzy... I feel dizzy, Max.",annie hall
L37417,u327,m20,BATEMAN,But I think...I want to know what happened here.,american psycho
L36562,u327,m20,BATEMAN,Van Patten looks puffy. Has he stopped working out?,american psycho
L37084,u327,m20,BATEMAN,Do you know what Ed Gein said about women?,american psycho
L251329,u1169,m77,BEN,"But, Elaine --",the graduate
L43490,u3681,m243,ALVY,Where?,annie hall
L189647,u5076,m336,ERIN,Why in the hell would you want to watch my kids?,erin brockovich
L190526,u5076,m336,ERIN,Two million dollars?,erin brockovich
L213285,u5262,m348,JACK,What about Marla?,fight club
L250780,u1169,m77,BEN,I've got to go.,the graduate
L42474,u3681,m243,ALVY,"Well, he's spitting on my neck! You know, he's spitting on my neck when he talks.",annie hall
L251256,u1169,m77,BEN,Yes. Please. I want you to.,the graduate
L189584,u5076,m336,ERIN,"Well, I'm the neighbors. There, now we're introduced, so you can shut the fuck up.",erin brockovich
L42871,u3681,m243,ALVY,"No, that was the most fun I've ever had without laughing.",annie hall
L36932,u327,m20,BATEMAN,Perrier? San Pellegrino?,american psycho
L212524,u5262,m348,JACK,"He farted on meringue; he sneezed on braised endive; and, with creme of mushroom soup, well...",fight club
L251110,u1169,m77,BEN,But what about the noise from the car. What if --,the graduate
L37107,u327,m20,BATEMAN,Maybe.,american psycho
L43486,u3681,m243,ALVY,"Whee, you shoulda told me it was Tony Lacey's party.",annie hall
L251072,u1169,m77,BEN,Yes I do. I know quite a bit about it.,the graduate
L212795,u5262,m348,JACK,I was going to my cave to find my power animal.,fight club
L212338,u5262,m348,JACK,"Look, I can't cry with a faker present.",fight club
L43172,u3681,m243,ALVY,I can think of another word.,annie hall
L189626,u5076,m336,ERIN,Cause I don't even know you.,erin brockovich
L190173,u5076,m336,ERIN,I don't know. Big. Dark.,erin brockovich
L36666,u327,m20,BATEMAN,"Oh come on. Price. There are a lot more important problems than Sri Lanka to worry about. Sure our foreign policy is important, but there are more pressing problems at hand.",american psycho
L36990,u327,m20,BATEMAN,Don't you know this?,american psycho
L212775,u5262,m348,JACK,Goodbye.,fight club
L36891,u327,m20,BATEMAN,"No, Owen.",american psycho
L250526,u1169,m77,BEN,I don't know. I want it to be --,the graduate
L43382,u3681,m243,ALVY,"The incredible thing about it is, I'm paying for her analysis and she's making progress and I'm getting screwed.",annie hall
L213323,u5262,m348,JACK,"Give me a minute, Marla, alright... just sixty seconds.",fight club
L37388,u327,m20,BATEMAN,But Marcus denied it?,american psycho
L251453,u1169,m77,BEN,Don't cry.,the graduate
L42875,u3681,m243,ALVY,I tried to take my pants off over my head... ...my ear.,annie hall
L42622,u3681,m243,ALVY,"Yeah, two more chairs and they got a dining-room set.",annie hall
L189811,u5076,m336,ERIN,"I <u>can't</u> call an exterminator. I can't afford one. God, I can't even afford my <u>phone</u>. I got fired.",erin brockovich
L213404,u5262,m348,JACK,You don't know that. There could still be people inside.,fight club
L250864,u1169,m77,BEN,Of course.,the graduate
L212264,u5262,m348,JACK,Bob was a champion bodybuilder. You know that chest expansion program you see on TV? That was his idea.,fight club
L36729,u327,m20,BATEMAN,Courtney? Dinner?,american psycho
L212480,u5262,m348,JACK,What list?,fight club
L250970,u1169,m77,BEN,You're welcome.,the graduate
L251442,u1169,m77,BEN,That woman. The older woman.,the graduate
L213162,u5262,m348,JACK,"No! Look at you! You're... you're running around in ski masks, exploding things...",fight club
L190305,u5076,m336,ERIN,What's going on in there?,erin brockovich
L36994,u327,m20,BATEMAN,We were both seven in 1969.,american psycho
L251741,u1169,m77,BEN,What have you done to her?,the graduate
L213033,u5262,m348,JACK,Look...,fight club
L251100,u1169,m77,BEN,There's no risk?,the graduate
L42783,u3681,m243,ALVY,"Me? No, no, no, 'cause I never shower in a public place.",annie hall
L212761,u5262,m348,JACK,Worth every penny.,fight club
L212560,u5262,m348,JACK,Where's your car?,fight club
L42716,u3681,m243,ALVY,I'll getcha a piece.,annie hall
L42393,u3681,m243,ALVY,"No, I don't! You know, I was in a record store. Listen to this- so I know there's this big tall blond crew-cutted guy and he's lookin' at me in a funny way and smiling and he's saying, ""Yes, we have a sale this week on Wagner."" Wagner, Max, Wagner- so I know what he's really tryin' to tell me very significantly Wagner.",annie hall
L37336,u327,m20,BATEMAN,"Did you know that Whitney Houston's debut LP called simply Whitney Houston had four number-one singles on it? Did you know that, Christie? Whitney's voice leaps across so many boundaries and is so versatile-though she's mainly a jazz singer-that it's hard to take in the album on a first listening.",american psycho
L36984,u327,m20,BATEMAN,Hang...out?,american psycho
L213309,u5262,m348,JACK,Abort the plan.,fight club
L251106,u1169,m77,BEN,Always?,the graduate
L42831,u3681,m243,ALVY,"No, I'm not gonna letcha. You have a great voice.",annie hall
L212488,u5262,m348,JACK,"God, it's late. I should find a hotel...",fight club
L190220,u5076,m336,ERIN,I want my paycheck. By the end of the day.,erin brockovich
L213225,u5262,m348,JACK,Please return your seatbacks to their full upright and locked position.,fight club
L212498,u5262,m348,JACK,Would that be a problem?,fight club
L190518,u5076,m336,ERIN,Here what comes?,erin brockovich
L42765,u3681,m243,ALVY,"Oh, sorry.",annie hall
L43352,u3681,m243,ALVY,"Remember, we had that thing.",annie hall
L189706,u5076,m336,ERIN,What's chromium?,erin brockovich
L212701,u5262,m348,JACK,Marla doesn't need a lover. She needs a case worker.,fight club
L251287,u1169,m77,BEN,"Look, we'll go out to dinner and have a drink and I'll bring her back. Because it was either that or a dinner party for the two families. And I'm afraid I couldn't quite handle that, if you don't mind. I have no intention of ever taking your precious daughter out again in her life. So don't get upset about it.",the graduate
L251075,u1169,m77,BEN,Are you interested more in modern art or more in classical art.,the graduate
L190416,u5076,m336,ERIN,I don't know. Few days. Thanks for helping me. I appreciate it.,erin brockovich
L250677,u1169,m77,BEN,"I'd rather not, Mrs. Robinson.",the graduate
L251116,u1169,m77,BEN,Now let's keep going here.,the graduate
L212878,u5262,m348,JACK,You quit?,fight club
L42847,u3681,m243,ALVY,Okay?,annie hall
L212712,u5262,m348,JACK,I said I promise!,fight club
L190490,u5076,m336,ERIN,How do you know that?,erin brockovich
L250611,u1169,m77,BEN,All right then.,the graduate
L250702,u1169,m77,BEN,Because I am confused about things. I can't tell what I'm imagining. I can't tell what's real. I can't --,the graduate
L42401,u3681,m243,ALVY,I'm gonna meet her in front of the Beekman. I think I have a few minutes left. Right?,annie hall
L37447,u327,m20,BATEMAN,"Yes, naturally.",american psycho
L251264,u1169,m77,BEN,"All right, for christ's sake. I promise I will never take out Elaine Robinson.",the graduate
L213055,u5262,m348,JACK,I would feel nothing about my life? Is that what you want to hear?!,fight club
L42436,u3681,m243,ALVY,Deal! I'm dealing with two guys named Cheech!,annie hall
L251190,u1169,m77,BEN,"A Ford! A Ford! Goddamnit, a Ford! That's great!",the graduate
L42553,u3681,m243,ALVY,"Well, why not?",annie hall
L190227,u5076,m336,ERIN,"Well, God damn it, Matthew -- Randy's mom doesn't work eighteen-hour days, and Randy's dad didn't leave her, so figuring out who's gonna take who where is a little easier over at Randy's house.",erin brockovich
L250869,u1169,m77,BEN,A drink? Of course.,the graduate
L42545,u3681,m243,ALVY,"H'm, I'm sorry, I can't go through with this, because it-I can't get it off my mind, Allison... it's obsessing me!",annie hall
L42653,u3681,m243,ALVY,Bad?,annie hall
L36751,u327,m20,BATEMAN,Yes.,american psycho
L36939,u327,m20,BATEMAN,It's no problem,american psycho
L42771,u3681,m243,ALVY,Duane?,annie hall
L190285,u5076,m336,ERIN,"That's all you got, lady. Two wrong feet. In fucking ugly shoes.",erin brockovich
L250737,u1169,m77,BEN,Let me out!,the graduate
L36853,u327,m20,BATEMAN,Marcus Halberstam. For two at eight?,american psycho
L251012,u1169,m77,BEN,"Hello, Mrs. Robinson.",the graduate
L251232,u1169,m77,BEN,Now don't start this.,the graduate
L189842,u5076,m336,ERIN,The ones in the box of files. The box of files? The one from your office?,erin brockovich
L42518,u3681,m243,ALVY,"Excuse... excuse me, when do I go on?",annie hall
L189835,u5076,m336,ERIN,"You wanna know, you gotta hire me back. I got a lot of bills to pay.",erin brockovich
L43188,u3681,m243,ALVY,"Uh, oh, I don't know. It might have been Leopold and Loeb. Hello. Oh, hi... Uh, no, what-what's the matter? What-what-what? You sound terrible... No, what- Sure I- Whatta yuh what kind of an emergency?... No, well, stay there. Stay there, I'll come over right now. I'll come over right now. Just stay there, I'll come right over.",annie hall
L43443,u3681,m243,ALVY,"Great, but nobody laughs at it 'cause your jokes aren't funny.",annie hall
L212807,u5262,m348,JACK,We don't... ?,fight club
L251103,u1169,m77,BEN,You walk right out the door.,the graduate
L37215,u327,m20,BATEMAN,I'm on a diet. But thank you.,american psycho
L43260,u3681,m243,ALVY,That'd be fun for yuh. Don't you think-,annie hall
L43618,u3681,m243,ALVY,Why? You wanna live out here all year? It's like living in Munchkin Land.,annie hall
L36596,u327,m20,BATEMAN,Calm down. Let's do it anyway,american psycho
L42759,u3681,m243,ALVY,"Yeah, uh, I'm gonna give him one more year and then I'm goin' to Lourdes.",annie hall
L42881,u3681,m243,ALVY,"I-I-I'm gonna buy you these books, I think, because I-I think you should read them. You know, instead of that cat book.",annie hall
L42887,u3681,m243,ALVY,"I've a very pessimistic view of life. You should know this about me if we're gonna go out, you know. I-I-I feel that life is-is divided up into the horrible and the miserable.",annie hall
L213360,u5262,m348,JACK,"I can't let myself see where you're going. Go wherever it takes you, remember... keep away from major cities...",fight club
L250982,u1169,m77,BEN,"That's a laugh, Mrs. Robinson. That's really a laugh. Ha ha.",the graduate
L37435,u327,m20,BATEMAN,...to the office this afternoon.,american psycho
L250651,u1169,m77,BEN,Mrs. Robinson -- you are trying to seduce me.,the graduate
L42867,u3681,m243,ALVY,Really. I mean it. I-I'll never play the piano again.,annie hall
L42843,u3681,m243,ALVY,"And-and uh, there's gonna be all that tension. You know, we never kissed before and I'll never know when to make the right move or anything. So we'll kiss now we'll get it over with and then we'll go eat. Okay?",annie hall
L213244,u5262,m348,JACK,"Marla, no, wait...",fight club
L213275,u5262,m348,JACK,What... what are you saying?,fight club
L42583,u3681,m243,ALVY,"You know, I-I think... if I could pry this door off... We shoulda gotten steaks 'cause they don't have legs. They don't run around.",annie hall
L42961,u3681,m243,ALVY,"No, don't be silly. What-what do we need other people for? You know, we should-we should just turn out the lights, you know, and play hide and seek or something.",annie hall
L42735,u3681,m243,ALVY,"You're the worst driver I've ever seen in my life... that's including any place... the worst... Europe, United... any place... Asia.",annie hall
L212653,u5262,m348,JACK,"Look, this is a bad time...",fight club
L189653,u5076,m336,ERIN,"This isn't gonna get you laid, you know.",erin brockovich
L190212,u5076,m336,ERIN,I want my fucking money --,erin brockovich
L37150,u327,m20,BATEMAN,What do you think I do?,american psycho
L213467,u5262,m348,JACK,Why can't I get rid of you? Why can't I just wish you away?,fight club
L42472,u3681,m243,ALVY,I'd like to hit this guy on a gut level.,annie hall
L189659,u5076,m336,ERIN,"Hi, Rosalind, this is Erin. Brockovich. From the file room? I was wondering if you could tell Mr. Masry that I'm following up on that real estate thing out of the office.",erin brockovich
L43589,u3681,m243,ALVY,Yeah.,annie hall
L212950,u5262,m348,JACK,"Local 8 just started in Penns Grove. And, Bob said he was at fight club in Newcastle last week.",fight club
L43184,u3681,m243,ALVY,"Oh, tsch, thank you. H'm.",annie hall
L251501,u1169,m77,BEN,Not exactly.,the graduate
L43378,u3681,m243,ALVY,"She would not sleep with me the other night, you know, it's-",annie hall
L42969,u3681,m243,ALVY,"Well, I'll give you a shot of sodium pentothal. You can sleep through it.",annie hall
L42955,u3681,m243,ALVY,"Hey, don't be ridiculous.",annie hall
L190470,u5076,m336,ERIN,"Hey, Ros, where are they?",erin brockovich
L190023,u5076,m336,ERIN,"George, I am just trying to do something nice for my kids on my one day off. Could you please not give me a hard time about it?",erin brockovich
L250966,u1169,m77,BEN,Okay.,the graduate
L250954,u1169,m77,BEN,Yes?,the graduate
L43311,u3681,m243,ALVY,"Yeah, but no presents till midnight.",annie hall
L37420,u327,m20,BATEMAN,I won't...don't worry.,american psycho
L212803,u5262,m348,JACK,I don't know...,fight club
L251564,u1169,m77,BEN,Elaine -- I love you.,the graduate
L212327,u5262,m348,JACK,These are my groups. I was here first. I've been coming for a year.,fight club
L251646,u1169,m77,BEN,You mean you're confused?,the graduate
L36937,u327,m20,BATEMAN,Mr. Kimball a bottle of San Pelle-,american psycho
L250896,u1169,m77,BEN,What? No. Nothing.,the graduate
L42366,u3681,m243,ALVY,What'd I do?,annie hall
L251220,u1169,m77,BEN,"You go to hell. You go straight to hell, Mrs. Robinson. Do you think I'm proud of myself? Do you think I'm proud of this?",the graduate
L42482,u3681,m243,ALVY,"I-I-I mean, I'm comparatively normal for a guy raised in Brooklyn.",annie hall
L43186,u3681,m243,ALVY,"I think-I think there's too much burden placed on the orgasm, you know, to make up for empty areas in life.",annie hall
L42682,u3681,m243,ALVY,You-you play... very well.,annie hall
L42941,u3681,m243,ALVY,"All right, granted, it has bad plumbing and bugs, but you-you say that like it's a negative thing. You know, bugs are-are-uh, entomology is a... ...rapidly growing field.",annie hall
L213237,u5262,m348,JACK,We've just lost cabin pressure.,fight club
L251094,u1169,m77,BEN,There!,the graduate
L43645,u3681,m243,ALVY,"Officer, I know what you're gonna say. I'm-I'm not a great driver, you know, I-I have some problems with- with-with-",annie hall
L43656,u3681,m243,ALVY,"You're an actor, Max. You should be doing Shakespeare in the Park.",annie hall
L43101,u3681,m243,ALVY,"Me? I'm-I'm one of the few males who suffers from that, so, so... you know.",annie hall
L43103,u3681,m243,ALVY,"G-go on, I'm interested.",annie hall
L36706,u327,m20,BATEMAN,"Oh, I don't know, Victoria. I'm at work all the time.",american psycho
L43199,u3681,m243,ALVY,Kill it! For Go- What's wrong with you? Don't you have a can of Raid in the house?,annie hall
L42454,u3681,m243,ALVY,"Well, I'm sorry, I-I can't... I-I- I've gotta see a picture exactly from the start to the finish, 'cause- 'cause I'm anal.",annie hall
L212997,u5262,m348,JACK,Hey.,fight club
L42993,u3681,m243,ALVY,"Hey, what is this-an interview? We're supposed to be making love.",annie hall
L42438,u3681,m243,ALVY,"Hey, you are in a bad mood. You-you- you must be getting your period.",annie hall
L251122,u1169,m77,BEN,So you don't -- I mean I don't like to seem like I'm prying but I guess you don't sleep together or anything.,the graduate
L36920,u327,m20,BATEMAN,Oh that? Just mulling over business problems. Examining opportunities...Exchanging rumors... Spreading gossip.,american psycho
L37122,u327,m20,BATEMAN,Yes?,american psycho
L36712,u327,m20,BATEMAN,"Listen, what are you doing tonight?",american psycho
L190045,u5076,m336,ERIN,How would you know?,erin brockovich
L37217,u327,m20,BATEMAN,You can always he thinner. Look...better.,american psycho
L36824,u327,m20,BATEMAN,"Why? Were you drinking? Is that why you lost it? Insider trading? Just joking. No, really-were you drinking on the job?",american psycho
L43427,u3681,m243,ALVY,"There's no economic crime, you know, but there's-there's ritual, religious- cult murders, you know, there's wheat- germ killers out here.",annie hall
L213073,u5262,m348,JACK,I don't know.,fight club
L43223,u3681,m243,ALVY,Very big spider.,annie hall
L36865,u327,m20,BATEMAN,"Hey, I'm a child of divorce. Give me a break Hmmm, I see they've omitted the pork loin with lime jello.",american psycho
L251252,u1169,m77,BEN,It's not! I enjoy it! I look forward to it. It's the one thing I have to look forward to.,the graduate
L43197,u3681,m243,ALVY,Oooh.,annie hall
L37363,u327,m20,BATEMAN,I'm leaving now. I've assessed the situation and I'm going.,american psycho
L36928,u327,m20,BATEMAN,"Ah, I see...Yes. Paul's disappearance...Yes.",american psycho
L42563,u3681,m243,ALVY,"Oh, my God! She's right! Why did I turn off Allison Portchnik? She was-she was beautiful. She was willing. She was real... intelligent. Is it the old Groucho Marx joke? That-that I-I just don't wanna belong to any club that would have someone like me for a member?",annie hall
L251318,u1169,m77,BEN,No -- why should I?,the graduate
L250710,u1169,m77,BEN,I have to go now. I'm sorry.,the graduate
L212454,u5262,m348,JACK,Hello?,fight club
L250714,u1169,m77,BEN,Mrs. Robinson?,the graduate
L42707,u3681,m243,ALVY,"Uh, you're driving a-",annie hall
L42889,u3681,m243,ALVY,Those are the two categories...,annie hall
L190362,u5076,m336,ERIN,I know. I'm sorry. Do I get to hear what happened anyway?,erin brockovich
L42688,u3681,m243,ALVY,"You have a car? So... I don't understand why... if you have a car, so then-then wh-why did you say ""Do you have a car?""... like you wanted a lift?",annie hall
L43229,u3681,m243,ALVY,snow shovel or anything or something.,annie hall
L250820,u1169,m77,BEN,Look -- I was thinking about that time after the party --,the graduate
L251562,u1169,m77,BEN,All right then! Yes!,the graduate
L42973,u3681,m243,ALVY,"No, no, no, what... You can once, you can live without it once. Come on.",annie hall
L37118,u327,m20,BATEMAN,"Yes, Courtney?",american psycho
L189586,u5076,m336,ERIN,"Just think of me as the person next door who likes it quiet, and we'll get along fine.",erin brockovich
L251246,u1169,m77,BEN,Well look -- I was kind of upset there. I'm sorry I said those things.,the graduate
L43459,u3681,m243,ALVY,"Oh, Max... no, I maybe I better lie down.",annie hall
L42724,u3681,m243,ALVY,"You keep it nice. Can I ask you, is this-is this a sandwich?",annie hall
L190375,u5076,m336,ERIN,When? Where?,erin brockovich
L36986,u327,m20,BATEMAN,Let me think. The Newport. Harry's. Fluties. Endochine. Nell's. Comell Club. The New York Yacht Club. The regular places.,american psycho
L190186,u5076,m336,ERIN,George!,erin brockovich
L37201,u327,m20,BATEMAN,Oh really? That's great.,american psycho
L250658,u1169,m77,BEN,Please forgive me. Because I like you. I don't think of you that way. But I'm mixed up.,the graduate
L189778,u5076,m336,ERIN,What's going on?,erin brockovich
L251581,u1169,m77,BEN,Elaine -- that is not what happened.,the graduate
L190377,u5076,m336,ERIN,"Okay, good. I think I should be the one to tell 'em, cause they trust me more than --",erin brockovich
L37289,u327,m20,BATEMAN,Really?,american psycho
L37184,u327,m20,BATEMAN,That is...if you're not doing anything.,american psycho
L251400,u1169,m77,BEN,During the day? We'll go for a drive or something.,the graduate
L190330,u5076,m336,ERIN,"Bullshit. You stuck me in Siberia dictating to some God damn steno clerk so you could finish this thing without me. After all I've done for you, that's the thanks I get.",erin brockovich
L36814,u327,m20,BATEMAN,Impressive. Very nice. Let's see Paul Owen's card.,american psycho
L250753,u1169,m77,BEN,No. No -- I'm just -- I'm just a little worried about my future. I'm a little upset about my future.,the graduate
L251649,u1169,m77,BEN,We just can.,the graduate
L190105,u5076,m336,ERIN,"Don't give me that. You're gonna get plenty rich off of this, Mr. 40 percent. We got those PG&E fuckers by the balls here.",erin brockovich
L42432,u3681,m243,ALVY,"I-i-i-i-it's all right, fellas. Jesus, what'd you do, come by way of the Panama Canal?",annie hall
L43057,u3681,m243,ALVY,"Right. Tsch, well, I have to-I have t-o go now, Duane, because I-I'm due back on the planet earth.",annie hall
L189915,u5076,m336,ERIN,I don't get why they'd do that.,erin brockovich
L212542,u5262,m348,JACK,Is it?,fight club
L251340,u1169,m77,BEN,But could you try?,the graduate
